id;latitude;longitude;genera_plant;genera_plan_ver;sp_plant;author_plant;sp_plant_ver;author_plant_ver;subfamily;genera_floralvisitor;genera_floralvisitor_ver;sp_floralvisitor;author_floralvisitor;sp_floralvisitor_ver;author_floralvisitor_ver;pollinator_group;bodypolendeposition;behaviour;relativefrequency
33;-23,33;-44,83;Mucuna;Mucuna;urens;(L.) Medik;urens;(L.) Medik.;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;Pallas;Glossophaga soricina;(Pallas, 1766);bat;thr;p;1
33;-23,33;-44,83;Mucuna;Mucuna;urens;(L.) Medik;urens;(L.) Medik.;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;Pallas;Glossophaga soricina;(Pallas, 1766);bat;bel;p;1
33;-23,33;-44,83;Mucuna;Mucuna;urens;(L.) Medik;urens;(L.) Medik.;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;Pallas;Glossophaga soricina;(Pallas, 1766);bat;chi;p;1
33;-23,33;-44,83;Mucuna;Mucuna;urens;(L.) Medikus;urens;(L.) Medik.;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;Pallas;Glossophaga soricina;(Pallas, 1766);bat;win;p;1
61;-23,28;-45,05;Inga;Inga;sessilis;(Vell.) Mart.;sessilis;(Vell.) Mart.;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;Pallas;Glossophaga soricina;(Pallas, 1766);bat;NA;p;NA
94;-24,38;-47,08;Vriesea;Vriesea;gigantea;Gaudich.;gigantea;Gaudich.;na;NA;NA;NA;NA;NA;NA;bat;NA;NA;NA
98;-24,38;-47,08;Vriesea;Vriesea;sp. 1;na;sp. 1;Lindl.;na;NA;NA;NA;NA;NA;NA;bat;NA;NA;NA
394;-19,1;-39,75;Tetrastylis;Passiflora;ovalis;(Vell. ex M. Roem.) Killip;ovalis;Vell. ex M.Roem;Glossophaginae;Glossophaga;Glossophaga;Glossophaga soricina;Pallas;Glossophaga soricina;(Pallas, 1766);bat;hea;p;NA
395;-19,1;-39,75;Tetrastylis;Passiflora;ovalis;(Vell. ex M. Roem.) Killip;ovalis;Vell. ex M.Roem;Rhinophyllinae;Rhinophylla;Rhinophylla;Rhinophylla pumilio;Peters;Rhinophylla pumilio;Peters, 1865;bat;hea;p;NA
396;-22,73;-45,58;Abutilon;Callianthe;aff.regnelii;NA;aff. regnellii;NA;Glossophaginae;Anoura;Anoura;Anoura caudifer;É. Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;ros;p;0.19
396;-22,73;-45,58;Abutilon;Callianthe;aff.regnelii;NA;aff. regnellii;NA;Glossophaginae;Anoura;Anoura;Anoura caudifer;É. Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;thr;p;0.19
401;-23,17;-44,92;Abutilon;Callianthe;regnellii;Miq.;regnellii;(Miq.) Donnell;Glossophaginae;Anoura;Anoura;Anoura caudifer;É. Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;ros;p;NA
401;-23,17;-44,92;Abutilon;Callianthe;regnellii;Miq.;regnellii;(Miq.) Donnell;Glossophaginae;Anoura;Anoura;Anoura caudifer;É. Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;thr;p;NA
402;-22,73;-45,58;Abutilon;Callianthe;regnellii;Miq.;regnellii;(Miq.) Donnell;Glossophaginae;Anoura;Anoura;Anoura caudifer;É. Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;ros;p;NA
402;-22,73;-45,58;Abutilon;Callianthe;regnellii;Miq.;regnellii;(Miq.) Donnell;Glossophaginae;Anoura;Anoura;Anoura caudifer;É. Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;thr;p;NA
406;-23,17;-44,92;Abutilon;Callianthe;rufinerve;A. St-Hill;rufinerva;(A. St.-Hill) Donnell;Glossophaginae;Anoura;Anoura;Anoura caudifer;É. Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;ros;p;0.19
406;-23,17;-44,92;Abutilon;Callianthe;rufinerve;A. St-Hill;rufinerva;(A. St.-Hill) Donnell;Glossophaginae;Anoura;Anoura;Anoura caudifer;É. Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;thr;p;0.19
407;-22,73;-45,58;Abutilon;Callianthe;rufinerve;A. St-Hill;rufinerva;(A. St.-Hill) Donnell;Glossophaginae;Anoura;Anoura;Anoura caudifer;É. Geoffroy Saint-Hilaire;Anoura caudifer;(É. Geoffroy, 1818);bat;ros;p;0.19
