REF_ID;ORDEMBD;STUDY_AIM;SPECIES;SP_ORIGIN;SITE;AREA_HA;MUNICIPALITY;STATE;COUNTRY;Longitude;Latitude;PRECISION;UC;ANNUAL_TEMP;ANNUAL_RAIN;ALTITUDE;VEG_TYPE;BUFFER_20KM;OLSONECONAME;OLSONG200R;RIBEIROVEGTYPE;BSRS;METHOD;COL_STRT_MO;COL_STRT_YR;COL_END_MO;COL_END_YR;LTR_EFF;CAM_EFF;SURV_EFF
REF0804;Agostini_etal_12;COMM;Sapajus nigritus;Autochtone;Karadya Private Reserve;100;Andresito;MISIONES;Argentina;-53960783,00;-25859418,00;Precise;Yes;23.7;1809;393;Atlantic forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;January;2012;December;2012;NA;NA;NA
REF0804;Agostini_etal_13;COMM;Sapajus nigritus;Autochtone;Urugua-i Provintial Park;54000;Andresito;MISIONES;Argentina;-53984461,00;-25854976,00;Precise;Yes;24.1;1786;383;Atlantic forest;inside the 20 km polygon;Alto Parana Atlantic forests;Atlantic Forests;NA;NA;Survey;January;2012;December;2012;NA;NA;NA
REF0804;Agostini_etal_14;COMM;Sapajus nigritus;Autochtone;Foerster Provintial Park;4980;Andresito;MISIONES;Argentina;-53903056,00;-25862222,00;Precise;Yes;23.9;1802;395;Atlantic forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;January;2012;December;2012;NA;NA;NA
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_19;ABD-COMM;Sapajus nigritus;Autochtone;Parque Provincial El Pinalito;3796;San Pedro;MISIONES;Argentina;-5383333333,00;-26,50;Precise;Yes;23.4;1861;593;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Line transect;March;2005;November;2007;175;NA;NA
REF0801;Agostini_etal_2;ABD-COMM;Alouatta guariba;Autochtone;Parque Provincial El Pinalito;3796;San Pedro;MISIONES;Argentina;-5383333333,00;-26,50;Precise;Yes;23.4;1861;593;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Line transect;March;2005;November;2007;175;NA;NA
Unpublished data. Di Bitetti, M. S., et al.;Agostini_etal_20;COMM;Sapajus nigritus;Autochtone;Parque Provincial Cruce Caballero;432;San Pedro;MISIONES;Argentina;-53966667,00;-26466667,00;Not precise;Yes;23.1;1848;513;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;January;1992;November;1994;NA;NA;NA
REF0801;Agostini_etal_3;ABD-COMM;Alouatta caraya;Autochtone;Parque Provincial El Pinalito;3796;San Pedro;MISIONES;Argentina;-5383333333,00;-26,50;Precise;Yes;23.4;1861;593;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Line transect;March;2005;November;2007;175;NA;NA
REF0802;Agostini_etal_4;COMM;Alouatta guariba;Autochtone;Parque Provincial Cruce Caballero;432;San Pedro;MISIONES;Argentina;-53966667,00;-26466667,00;Not precise;Yes;23.1;1848;513;Semideciduous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;NA;NA;Survey;January;1992;November;1994;NA;NA;NA
REF0736;Almeida_AS_2_1;COMM;Alouatta guariba;Autochtone;RPPN Uru;NA;CAMPO LARGO;PARANA;Brazil;-49,41;-25,48;Precise;Yes;20.5;1427;915;Mixed Ombrophilous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;Floresta Ombrofila Mista;Florestas de Araucaria;NA;December;2013;April;2014;NA;NA;NA
REF0740;Almeida_AS_2_10;COMM;Callicebus nigrifrons;Autochtone;RPPN Poco Fundo;NA;OURO PRETO;MINAS GERAIS;Brazil;-435443,00;-202707,00;Precise;Yes;19.8;1603;1207;Semideciduous forest;inside the 20 km polygon;Campos Rupestres montane savanna;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;November;2008;November;2008;NA;NA;1 day
REF0741;Almeida_AS_2_11;COMM;Callithrix jacchus;Autochtone;RPPN Monte Alegre;NA;ITAITINGA;CEARA;Brazil;-38,54;-3,95;Precise;Yes;26.4;1295;88;Semideciduous forest;inside the 20 km polygon;Caatinga;NA;NA;NA;Survey;May;2011;May;2011;NA;NA;3 days
REF0742;Almeida_AS_2_12;COMM;Alouatta guariba;Autochtone;RPPN Mitra do Bispo;NA;BOCAINA DE MINAS;MINAS GERAIS;Brazil;-445575,00;-22149,00;Precise;Yes;16.8;1920;1759;Dense Ombrophilous forest;inside the 20 km polygon;Campos Rupestres montane savanna;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;NA;NA;NA;NA;NA;NA;NA
REF0742;Almeida_AS_2_13;COMM;Brachyteles arachnoides;Autochtone;RPPN Mitra do Bispo;NA;BOCAINA DE MINAS;MINAS GERAIS;Brazil;-445575,00;-22149,00;Precise;Yes;16.8;1920;1759;Dense Ombrophilous forest;inside the 20 km polygon;Campos Rupestres montane savanna;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;NA;NA;NA;NA;NA;NA;NA
REF0742;Almeida_AS_2_14;COMM;Callicebus nigrifrons;Autochtone;RPPN Mitra do Bispo;NA;BOCAINA DE MINAS;MINAS GERAIS;Brazil;-445575,00;-22149,00;Precise;Yes;16.8;1920;1759;Dense Ombrophilous forest;inside the 20 km polygon;Campos Rupestres montane savanna;Atlantic Forests;Floresta Estacional Semidecidual;Florestas de Interior;Survey;NA;NA;NA;NA;NA;NA;NA
REF0743;Almeida_AS_2_15;COMM;Callithrix jacchus;Autochtone;RPPN Mae-da-lua;NA;TRAIRI;CEARA;Brazil;-392824,00;-3484,00;Precise;Yes;27;1031;99;Semideciduous forest;inside the 20 km polygon;Caatinga;NA;NA;NA;Survey;NA;2006;NA;2011;NA;NA;NA
REF0744;Almeida_AS_2_16;COMM;Alouatta guariba;Autochtone;RPPN Emilio Fiorentino Battistella;NA;CORUPA;SANTA CATARINA;Brazil;-493572,00;-26394,00;Precise;Yes;21;1508;675;Dense Ombrophilous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;Floresta Ombrofila Mista;Florestas de Araucaria;Survey;NA;2009;NA;2013;NA;NA;NA
REF0744;Almeida_AS_2_17;COMM;Sapajus nigritus;Autochtone;RPPN Emilio Fiorentino Battistella;NA;CORUPA;SANTA CATARINA;Brazil;-493572,00;-26394,00;Precise;Yes;21;1508;675;Dense Ombrophilous forest;inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;Floresta Ombrofila Mista;Florestas de Araucaria;Survey;NA;2009;NA;2013;NA;NA;NA
REF0745;Almeida_AS_2_18;COMM;Callithrix jacchus;Allochtone;RPPN Ceu do Mar;NA;MAGE;RIO DE JANEIRO;Brazil;-431609,00;-225915,00;Precise;Yes;25.4;1840;45;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Serra do Mar;Survey;January;2012;March;2012;NA;NA;NA
REF0745;Almeida_AS_2_19;COMM;Sapajus nigritus;Autochtone;RPPN Ceu do Mar;NA;MAGE;RIO DE JANEIRO;Brazil;-431609,00;-225915,00;Precise;Yes;25.4;1840;45;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Floresta Ombrofila Densa;Serra do Mar;Survey;January;2012;March;2012;NA;NA;NA
REF0737;Almeida_AS_2_2;COMM;Alouatta guariba;Autochtone;RPPN Taipa Rio do Couro;NA;RIO NEGRINHO;SANTA CATARINA;Brazil;-495521,00;-263212,00;Precise;Yes;20.6;1426;908;"Dense Ombrophilous forest; Mixed Ombrophilous forest";inside the 20 km polygon;Araucaria moist forests;Atlantic Forests;Floresta Ombrofila Mista;Florestas de Araucaria;NA;NA;2008;NA;2008;NA;NA;NA
REF0746;Almeida_AS_2_20;COMM;Alouatta guariba;Autochtone;RPPN Caetezal;NA;JOINVILLE;SANTA CATARINA;Brazil;-490624,00;-261128,00;Precise;Yes;18.1;1733;1141;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Areas de Tensao Ecologica;Serra do Mar;Survey;NA;2005;NA;2005;NA;NA;NA
REF0746;Almeida_AS_2_21;COMM;Sapajus nigritus;Autochtone;RPPN Caetezal;NA;JOINVILLE;SANTA CATARINA;Brazil;-490624,00;-261128,00;Precise;Yes;18.1;1733;1141;Dense Ombrophilous forest;inside the 20 km polygon;Serra do Mar coastal forests;Atlantic Forests;Areas de Tensao Ecologica;Serra do Mar;Survey;NA;2005;NA;2005;NA;NA;NA
